playerID,yearID,stint,inMater,Name,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
murphse01,2020,1,1,Sean Murphy,25,OAK,AL,162,343,289,49,66,12,0,16,35,1,0,53,90,0,1,0,0,13
rodrise01,2020,1,1,Sean Rodriguez,35,MIA,NL,162,32,31,1,5,0,0,0,1,0,0,1,14,0,0,0,0,0
alcanse01,2020,1,1,Sergio Alcantara,23,DET,AL,162,56,51,5,8,0,2,2,3,0,0,5,11,0,0,0,0,0
brownse01,2020,1,1,Seth Brown,27,OAK,AL,162,12,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
longsh01,2020,1,1,Shed Long,24,SEA,AL,162,314,286,26,51,12,0,8,24,9,0,27,89,0,1,0,0,3
apostsh01,2020,1,1,Sherten Apostel,21,TEX,AL,162,51,48,3,6,2,0,0,1,0,0,3,20,0,0,0,0,0
choosh01,2020,1,1,Shin-Soo Choo,37,TEX,AL,162,311,271,32,63,8,0,12,36,13,4,31,80,2,5,0,4,3
akiyash01,2020,1,1,Shogo Akiyama,32,CIN,NL,162,448,383,41,92,15,2,2,27,15,6,57,89,0,5,0,1,4
ohtansh01,2020,1,1,Shohei Ohtani,25,LAA,AL,162,429,377,55,74,15,0,16,56,15,2,51,120,0,1,0,0,8
castrst01,2020,1,1,Starlin Castro,30,WSN,NL,162,154,146,21,38,7,2,5,11,0,0,8,33,0,0,0,0,1
martest01,2020,1,1,Starling Marte,31,TOT,NL,162,613,557,85,150,32,2,15,66,21,4,34,111,2,19,0,3,12
piscost01,2020,1,1,Stephen Piscotty,29,OAK,AL,162,419,387,43,87,15,0,12,66,9,0,25,125,0,3,2,2,9
vogtst01,2020,1,1,Stephen Vogt,35,ARI,NL,162,198,177,16,31,11,0,3,18,0,0,19,45,0,0,0,2,3
duggast01,2020,1,1,Steven Duggar,26,SFG,NL,162,88,83,8,15,5,0,0,8,2,0,3,26,0,2,0,0,2
souzast01,2020,1,1,Steven Souza Jr.,31,CHC,NL,162,76,67,8,11,5,0,2,11,2,0,9,34,0,0,0,0,0
jonesta01,2020,1,1,Taylor Jones,26,HOU,AL,162,54,51,7,10,2,0,2,7,0,0,3,17,0,0,0,0,4
wardta01,2020,1,1,Taylor Ward,26,LAA,AL,162,250,229,37,61,14,4,1,15,5,0,20,68,0,1,0,0,3
hernate01,2020,1,1,Teoscar Hernandez,27,TOR,AL,162,507,463,76,128,18,0,35,78,13,2,36,150,0,3,0,3,10
estrath01,2020,1,1,Thairo Estrada,24,NYY,AL,162,127,117,19,21,1,0,3,8,2,0,4,44,0,6,0,0,0
anderti01,2020,1,1,Tim Anderson,27,CHW,AL,162,541,505,101,154,26,2,23,52,11,4,28,125,0,5,0,3,10
hillti01,2020,1,1,Tim Hill,30,SDP,NL,162,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
locasti01,2020,1,1,Tim Locastro,27,ARI,NL,162,201,172,34,47,9,2,5,18,8,0,19,37,0,8,2,0,1
lopesti01,2020,1,1,Tim Lopes,26,SEA,AL,162,370,347,40,81,27,0,6,37,11,0,18,85,0,5,0,0,5
frazito01,2020,1,1,Todd Frazier,34,TOT,MLB,162,421,383,41,89,21,2,10,32,3,2,29,103,0,9,0,0,3
nidoto01,2020,1,1,Tomas Nido,26,NYM,NL,162,64,59,9,16,2,0,4,13,0,0,5,15,0,0,0,0,4
edmanto01,2020,1,1,Tommy Edman,25,STL,NL,162,556,499,69,122,18,2,13,63,5,8,41,122,0,11,0,5,12
lasteto01,2020,1,1,Tommy La Stella,31,TOT,AL,162,559,484,73,130,32,4,13,61,3,0,63,50,0,5,2,5,14
phamth01,2020,1,1,Tommy Pham,32,SDP,NL,162,306,268,32,57,6,0,8,30,13,0,35,68,0,3,0,0,5
kempto01,2020,1,1,Tony Kemp,28,OAK,AL,162,279,232,36,56,12,0,1,13,7,2,34,41,0,7,2,4,1
wolteto01,2020,1,1,Tony Wolters,28,COL,NL,162,267,244,25,56,10,0,1,21,1,0,16,72,0,3,4,0,3
blanktr01,2020,1,1,Travis Blankenhorn,23,MIN,AL,162,10,8,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0
darnatr01,2020,1,1,Travis d'Arnaud,31,ATL,NL,162,451,404,47,122,19,0,20,77,3,0,39,121,0,5,0,3,18
demertr01,2020,1,1,Travis Demeritte,25,DET,AL,162,81,72,12,13,3,0,0,10,0,0,7,32,0,2,0,0,0
jankotr01,2020,1,1,Travis Jankowski,29,CIN,NL,162,42,37,7,4,0,0,0,1,4,2,5,16,0,0,0,0,2
shawtr01,2020,1,1,Travis Shaw,30,TOR,AL,162,441,399,43,94,23,0,14,43,1,0,39,120,0,1,0,2,10
turnetr01,2020,1,1,Trea Turner,27,WSN,NL,162,635,571,105,179,34,8,27,94,25,8,54,102,0,5,0,5,12
grishtr01,2020,1,1,Trent Grisham,23,SDP,NL,162,617,531,97,130,20,6,23,64,21,2,72,157,0,7,2,3,4
storytr01,2020,1,1,Trevor Story,27,COL,NL,162,635,575,95,159,30,8,25,68,31,6,58,156,2,1,0,1,12
barnhtu01,2020,1,1,Tucker Barnhart,29,CIN,NL,162,270,241,26,50,8,0,11,31,1,0,28,69,0,1,0,0,5
francty01,2020,1,1,Ty France,25,TOT,MLB,162,380,345,46,100,21,2,10,53,1,0,28,92,0,7,0,0,7
flowety01,2020,1,1,Tyler Flowers,34,ATL,NL,162,196,171,14,37,13,0,3,14,0,0,19,77,0,6,0,0,3
heinety01,2020,1,1,Tyler Heineman,29,SFG,NL,162,123,105,9,21,3,0,1,4,2,0,10,18,0,4,4,0,0
naquity01,2020,1,1,Tyler Naquin,29,CLE,AL,162,345,323,37,70,18,2,10,47,1,2,15,96,0,3,0,4,7
oneilty01,2020,1,1,Tyler O'Neill,25,STL,NL,162,385,342,48,62,13,0,16,46,7,2,36,104,0,5,0,2,7
stephty01,2020,1,1,Tyler Stephenson,23,CIN,NL,162,49,42,9,12,0,0,4,13,0,0,5,20,0,2,0,0,0
wadety01,2020,1,1,Tyler Wade,25,NYY,AL,162,257,218,43,39,8,0,7,25,9,2,28,56,0,7,2,2,3
tayloty01,2020,1,1,Tyrone Taylor,26,MIL,NL,162,100,92,14,22,9,0,5,14,0,0,6,21,0,2,0,0,2
caratvi01,2020,1,1,Victor Caratini,26,CHC,NL,162,323,285,27,68,16,0,4,38,1,2,29,77,2,9,0,0,9
reyesvi01,2020,1,1,Victor Reyes,25,DET,AL,162,522,490,71,131,18,4,11,38,17,4,26,114,0,5,0,1,10
roblevi01,2020,1,1,Victor Robles,23,WSN,NL,162,463,412,49,91,13,2,8,39,9,2,25,127,0,19,2,5,2
machivi01,2020,1,1,Vimael Machin,26,OAK,AL,162,174,155,26,32,5,0,1,3,0,0,19,28,0,0,0,0,9
guerrvl02,2020,1,1,Vladimir Guerrero Jr.,21,TOR,AL,162,595,540,80,138,30,4,21,78,3,0,49,104,2,5,0,1,14
merriwh01,2020,1,1,Whit Merrifield,31,KCR,AL,162,649,603,89,164,29,0,21,73,25,7,34,96,0,9,0,3,8
myerswi01,2020,1,1,Wil Myers,29,SDP,NL,162,534,484,79,133,32,4,33,90,5,2,44,137,0,5,0,1,2
craigwi01,2020,1,1,Will Craig,25,PIT,NL,162,10,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
smithwi05,2020,1,1,Will Smith,25,LAD,NL,162,336,284,53,78,20,0,18,57,1,0,45,60,2,5,0,2,5
castrwi01,2020,1,1,Willi Castro,23,DET,AL,162,343,315,49,102,10,4,14,55,1,2,19,92,0,3,2,4,1
contrwi02,2020,1,1,William Contreras,22,ATL,NL,162,25,25,1,9,2,0,0,3,0,0,0,9,0,0,0,0,0
astudwi01,2020,1,1,Willians Astudillo,28,MIN,AL,162,39,38,9,9,2,0,2,7,0,0,1,6,0,0,0,0,0
calhowi01,2020,1,1,Willie Calhoun,25,TEX,AL,162,265,244,11,48,6,2,3,31,1,0,14,46,0,3,0,4,3
contrwi01,2020,1,1,Willson Contreras,28,CHC,NL,162,551,468,85,112,24,0,17,63,3,4,49,140,2,29,0,5,14
adamewi01,2020,1,1,Willy Adames,24,TBR,AL,162,502,452,68,114,34,2,19,56,5,2,48,171,0,1,0,1,10
difowi01,2020,1,1,Wilmer Difo,28,WSN,NL,162,44,35,3,4,0,0,0,3,0,0,7,10,0,0,0,2,0
florewi01,2020,1,1,Wilmer Flores,28,SFG,NL,162,522,482,71,125,26,2,27,74,3,0,34,96,2,3,0,3,12
ramoswi01,2020,1,1,Wilson Ramos,32,NYM,NL,162,380,347,34,82,15,0,12,37,1,0,26,80,0,5,0,2,11
mathiwy01,2020,1,1,Wyatt Mathisen,26,ARI,NL,162,81,68,12,15,1,0,4,12,0,0,11,28,0,2,0,0,0
bogaexa01,2020,1,1,Xander Bogaerts,27,BOS,AL,162,551,496,83,142,20,0,25,67,17,0,51,108,4,1,0,3,8
hernaya01,2020,1,1,Yadiel Hernández,32,WSN,NL,162,69,64,7,13,6,0,2,13,0,0,3,27,0,0,0,2,0
riverya01,2020,1,1,Yadiel Rivera,28,TEX,AL,162,12,12,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
molinya01,2020,1,1,Yadier Molina,37,STL,NL,162,382,353,32,90,7,0,10,39,1,0,18,60,0,7,2,2,15
munozya01,2020,1,1,Yairo Munoz,25,BOS,AL,162,110,108,14,34,11,0,3,10,4,0,2,27,0,0,0,0,2
gomesya01,2020,1,1,Yan Gomes,32,WSN,NL,162,292,266,34,73,14,2,10,32,3,0,17,58,0,3,0,6,3
diazya01,2020,1,1,Yandy Díaz,28,TBR,AL,162,338,284,39,82,8,0,6,29,1,0,51,50,2,3,0,0,13
grandya01,2020,1,1,Yasmani Grandal,31,CHW,AL,162,475,400,64,91,17,0,18,63,1,0,67,138,0,3,0,5,10
merceye01,2020,1,1,Yermin Mercedes,27,CHW,AL,162,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moncayo01,2020,1,1,Yoan Moncada,25,CHW,AL,162,566,493,68,111,20,6,15,59,1,0,65,170,0,3,0,5,4
cespeyo01,2020,1,1,Yoenis Céspedes,34,NYM,NL,162,83,76,8,13,3,0,4,10,0,0,5,34,0,2,0,0,2
sanchca01,2020,1,1,Yolmer Sanchez,28,CHW,AL,162,51,40,15,12,6,0,2,3,0,0,11,12,0,0,0,0,2
alvaryo01,2020,1,1,Yordan Álvarez,23,HOU,AL,162,22,20,4,5,0,0,2,8,0,0,0,3,0,2,0,0,2
tsutsyo01,2020,1,1,Yoshi Tsutsugo,28,TBR,AL,162,453,388,63,78,13,2,18,57,1,0,59,121,2,3,0,3,12
changyu01,2020,1,1,Yu Chang,24,CLE,AL,162,32,27,3,5,0,0,0,3,0,0,5,10,0,0,0,0,4
gourryu01,2020,1,1,Yuli Gurriel,36,HOU,AL,162,564,515,66,119,28,2,15,55,1,2,33,80,0,5,0,11,14
mckinza01,2020,1,1,Zach McKinstry,25,LAD,NL,162,17,17,2,5,2,0,0,0,0,0,0,7,0,0,0,0,2
colliza01,2020,1,1,Zack Collins,25,CHW,AL,162,44,39,3,4,2,0,0,1,0,0,5,12,0,0,0,0,0
