,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
2,50788.0,10000113.0,10000155.0,-1.5,9.5,220.0,-240.0
3,50791.0,10005913.0,10006353.0,1.5,9.5,-160.0,150.0
4,50796.0,10003322.0,10005313.0,1.5,8.0,100.0,-110.0
5,50789.0,10001305.0,10005311.0,-1.5,8.5,130.0,-140.0
6,50800.0,10000931.0,10000970.0,-1.5,8.5,220.0,-240.0
7,50790.0,10000555.0,10000189.0,1.5,9.5,-161.0,151.0
8,50798.0,10006466.0,10000694.0,1.5,9.0,-178.0,168.0
9,50794.0,10005250.0,10003259.0,-1.5,8.5,-101.0,-109.0
10,50799.0,,,,,,
11,50795.0,10006172.0,10007434.0,1.5,8.0,-130.0,120.0
12,50801.0,10005337.0,10000291.0,1.5,8.0,-120.0,110.0
13,50802.0,10002046.0,10001031.0,1.5,8.5,-125.0,115.0
14,50792.0,10000613.0,10005288.0,-1.5,6.5,140.0,-150.0
0,50809.0,10002058.0,10000426.0,-1.5,7.5,180.0,-190.0
1,50803.0,10001191.0,10007523.0,-1.5,8.5,142.0,-152.0
2,50806.0,10002098.0,10000247.0,-1.5,6.5,165.0,-175.0
3,50807.0,10001250.0,10003206.0,1.5,9.0,-120.0,110.0
4,50804.0,10001150.0,10000335.0,-1.5,7.0,215.0,-235.0
5,50815.0,10000060.0,10000981.0,-1.5,8.5,227.0,-247.0
6,50813.0,10005365.0,,1.5,8.5,-145.0,135.0
7,50814.0,,,-1.5,8.5,158.0,-168.0
8,50812.0,10000184.0,10001187.0,-1.5,7.0,115.0,-125.0
9,50817.0,10000885.0,10003325.0,-1.5,9.0,-103.0,-107.0
10,50805.0,10000564.0,10007266.0,1.5,7.5,-161.0,151.0
11,50816.0,10001243.0,10001629.0,-1.5,8.5,102.0,-112.0
12,50808.0,10001077.0,10000839.0,-1.5,7.5,172.0,-182.0
13,50810.0,10000001.0,10000794.0,-1.5,8.0,100.0,-110.0
14,50811.0,10000986.0,10008547.0,1.5,7.5,-185.0,175.0
0,50824.0,10000364.0,10001350.0,-1.5,7.0,183.0,-195.0
1,50818.0,10000095.0,10000249.0,-1.5,6.5,190.0,-210.0
2,50821.0,,10000372.0,-1.5,7.5,160.0,-170.0
3,50822.0,10001157.0,10000276.0,1.5,9.0,-176.0,166.0
4,50827.0,10006255.0,10006184.0,-1.5,8.0,128.0,-138.0
5,50819.0,,,-1.5,7.0,225.0,-245.0
6,50820.0,10008667.0,10006766.0,1.5,7.5,-222.0,202.0
7,53573.0,10002077.0,10000977.0,1.5,8.5,-150.0,140.0
8,50825.0,10000371.0,10000805.0,-1.5,7.0,180.0,-190.0
9,50829.0,,,,8.0,160.0,-170.0
10,50826.0,10000843.0,10003284.0,1.5,8.5,-134.0,124.0
11,50831.0,10002091.0,10001065.0,1.5,8.5,-109.0,-101.0
12,50832.0,10005526.0,10007081.0,-1.5,8.0,113.0,-123.0
13,50823.0,10005234.0,10000618.0,-1.5,6.5,189.0,-207.0
14,50830.0,10000786.0,10000432.0,-1.5,8.0,295.0,-315.0
0,50833.0,,,-1.5,9.0,153.0,-163.0
1,50836.0,10005232.0,10000066.0,1.5,8.0,-125.0,115.0
2,50840.0,10006766.0,10001150.0,-1.5,9.0,185.0,-200.0
3,50842.0,,,-1.5,8.5,113.0,-123.0
4,50838.0,10001253.0,10005315.0,-1.5,7.5,155.0,-165.0
5,50841.0,10007245.0,10006824.0,-1.5,8.0,115.0,-125.0
6,50834.0,10007391.0,10002077.0,-1.5,8.5,280.0,-310.0
7,50837.0,10000012.0,10000787.0,-1.5,7.5,160.0,-170.0
8,50839.0,10005351.0,10005587.0,-1.5,8.0,112.0,-122.0
9,50843.0,10000469.0,10001072.0,1.5,7.0,-110.0,100.0
10,50844.0,10000628.0,10001019.0,1.5,7.5,-140.0,130.0
11,50835.0,10006183.0,10006438.0,-1.5,8.5,140.0,-150.0
0,53582.0,10006766.0,10001150.0,-1.5,9.0,155.0,-165.0
1,50856.0,10000282.0,10000007.0,-1.5,8.0,138.0,-148.0
2,50848.0,10006571.0,10000466.0,-1.5,8.5,-103.0,-107.0
3,,,,,,,
4,50855.0,10001162.0,10000372.0,-1.5,8.0,117.0,-127.0
5,50850.0,10001202.0,10008561.0,-1.5,8.5,138.0,-148.0
6,50858.0,10003360.0,10006456.0,1.5,8.0,-190.0,180.0
7,50854.0,10005294.0,10003142.0,-1.5,9.0,142.0,-152.0
8,50859.0,10000071.0,10000842.0,1.5,7.5,-215.0,195.0
9,50849.0,10001337.0,10000807.0,1.5,7.0,-111.0,101.0
10,50845.0,10000421.0,10008667.0,-1.5,8.0,150.0,-160.0
11,50846.0,10000335.0,10001203.0,1.5,8.0,-195.0,183.0
12,50851.0,10000367.0,10002066.0,-1.5,8.0,128.0,-138.0
13,50857.0,10000102.0,10000004.0,-1.5,8.5,168.0,-178.0
14,50853.0,10001017.0,10000977.0,1.5,9.0,-110.0,100.0
15,50847.0,10005349.0,10000850.0,-1.5,9.0,285.0,-315.0
0,50865.0,10005835.0,10006172.0,-1.5,7.5,111.0,-121.0
1,50869.0,10001025.0,10001064.0,-1.5,8.5,183.0,-195.0
2,50867.0,,,,,-105.0,-105.0
3,50864.0,10000931.0,10005313.0,1.5,7.5,-119.0,109.0
4,50866.0,10006353.0,10005250.0,-1.5,9.0,128.0,-138.0
5,50868.0,10005848.0,10005337.0,-1.5,9.0,185.0,-200.0
6,50871.0,10001986.0,10000020.0,-1.5,8.0,148.0,-158.0
7,50862.0,10003322.0,10000622.0,-1.5,9.0,110.0,-120.0
8,50872.0,10000970.0,10000291.0,1.5,7.5,-178.0,168.0
9,50870.0,10000101.0,10004421.0,1.5,8.5,-122.0,112.0
10,50873.0,10005288.0,10003550.0,1.5,7.5,-161.0,151.0
11,50863.0,10001345.0,10003259.0,-1.5,8.0,100.0,-110.0
12,50860.0,10000153.0,10000569.0,1.5,8.0,-105.0,-105.0
13,50861.0,10000330.0,10001993.0,1.5,7.5,-118.0,108.0
14,,,,,,,
0,50878.0,10000981.0,10003325.0,1.5,8.5,-181.0,171.0
1,50877.0,10001191.0,10001353.0,1.5,9.0,-118.0,108.0
